,eid,phrases,pred,text,rouge_1,rouge_2,rouge_l,greedy,beam
0,fjufqwFSQrUhLqoYGTklHQ,"summarize: good Price,okay Taste,Very delicious,great service,wonderful Parsley Modern Mediterranean,Very responsive staff,wonderful Food,pretty amazing pita bread,incredible value,favorite Mediterranean place,really good place,very location",this is a very modern place with a very nice staff. the service was amazing and the food was amazing. i had the greek salad and it was very delicious. the hummus was delicious and the pita bread was amazing. the price was also very good for the quality of the food. the only thing i would say is," Fresh food, high quality food, delicious and Mediterranean.. what more can one ask for. I loved eating here and I really enjoyed the food here. It's one of those places that once you eat there you want to keep coming back, and you will. Prices are good. If you want to customize your order they'll do it for you. Awesome place. ",0.2459016393442623,0.03333333333333333,0.11475409836065573,Price is good. Taste is okay. I'm not a fan of the hummus. I don't like the tzatziki sauce. It's a little too salty for my taste. I like the sauce. I think it's just a bit too,"Love this place. Price is good. Taste is okay. I'm not a huge fan of the hummus, but it's a good choice. The service is great. Very responsive staff. Food is a little on the pricey side but worth it. The pita bread is"
1,2JsLzYF8rUalwpm5LDEcog,"summarize: good food,excellent seafood,unassuming atmosphere,very peppery clam chowder,Fantastic place,phenomenal food,Family atmosphere,exceptional service,friendly staff,funky atmosphere,excellent lobster bisque,excellent lobster shrimp tacos,fabulous desserts,didn't come out very quickly Food,large party",this place is fantastic. the food is excellent and the atmosphere is wonderful. the staff is very friendly and the service is excellent. the food was excellent. i had the lobster bisque and it was outstanding. the lobster mac and cheese was excellent. the lobster was very large and the lobster rolls were excellent. the atmosphere was a little," The food is great here. It can be a little expensive, but that doesn't take away from the good quality food. Portion sizes are a average in size, but the taste is what you come here for, not for massive plates of food. ",0.19417475728155334,0.0594059405940594,0.13592233009708735,"The food was good, but the atmosphere was unassuming. The food is excellent, but I'm not a fan of the clam chowder. The clams and clam were very peppery and the crock - y - cheese was a little too salt","The food was good, the seafood was excellent, and the atmosphere was unassuming. The clam chowder was very peppery and a little too salty for my taste. However, the service was exceptional. The staff was friendly and helpful. The lobster tacos were excellent, as was"
2,6C_8Mh4lmLc_QEs3hHleBg,"summarize: basic charbroiled chicken,love chicken,rather bland beans,ok portions,adequate Sirloin,average Beans,terrible mashed tomatoes,lacking Service,annoying cash only,delicious smell,best chicken,great price,Nice simple Mexican food,flavorful beans,close tortillas",i have been to this place a few times and have never been disappointed. the service is mediocre and the food is mediocre. i love the chips and salsa and the chicken is the best i've had in a long time. the chicken was bland and the rice was just ok. the rice and beans were lacking in flavor., Mexican food that reminds me of what my mom used to make. It is fresh and high quality but simple and not overly complicated. The chicken is by far their specialty here and if you stop by I recommend trying it. The price is very cheap here but one down side is they only accept cash. ,0.206896551724138,0.03508771929824561,0.15517241379310345,I love the basic charbroiled chicken. The beans are a little too salty for my taste but I love that they are not greasy. The portions are ok. The mashed potatoes are soooo good. The only thing I would change is the fried chicken. It',"I've been here a few times and have never been disappointed. I love the basic charbroiled chicken and the brisket. The portions are ok, but I'm not a big fan of the ribs. The beans are a tad bland"
3,5VXsbrqyJx0a4iaa43RNFA,"summarize: very nice breakfast place,great food,love service,just OK food,always friendly staff,Great hip breakfast,excellent waitress Kayla,unique options,young staff,better Egg,negative reviews,OK biscuits and gravy,friendly waitress,yummy Bloody Mary mix,decent ambience",i love this place. the food is decent and the staff is very friendly. the decor is nice and the service is excellent. the waitress is always friendly and the food comes out in a timely manner. i had the eggs benedict and it was decent but the hash browns were great. the biscuits and gravy were awesome and," This is an ok breakfast joint.  The food is kind of bland for the hefty price you have to pay.  I had the Dolly breakfast sandwich and I feel like it lacked flavor.  The staff could be more attentive.  We waited several minutes before we were even addressed.  Its a decent place, but overall, I'm not a fan. ",0.288135593220339,0.05172413793103448,0.1864406779661017,This is a very nice breakfast place. The food is great and the staff is always friendly. The only thing I would change is that the food is just OK. I'm not a fan of the eggs and the eggs. The eggs and bacon aren't the best. The staff is also,This is a very nice breakfast place. The food is great and I love the service. The staff is always friendly. Great hip - y feel to the place. They have a lot of unique and unique options to choose from. I'm not a big fan of the eggs bene
4,5iHctUjkQTGwEvOaBkwMRQ,"summarize: favorite restaurant for lunch,soo good coffee,great teas,amazing quality selection of,delicious pesto chicken pannini,super nice staff,really sweet girls,toasted marshmallow iced latte,free wi - fi, Great lunch,best coffees,reasonable Prices,good place,uncomplicated breakfast,Good coffee",this is one of my favorite breakfast spots in the city. the staff is super nice and the coffee is good. the coffee selection is great and the prices are reasonable for the quality of the food you get. the iced coffee is good and the iced tea is delicious. my favorite is the white chocolate chip cookie with," This place has a nice buffet, which in itself is a compliment and a negative. Their actual food they bring you isn't as good as the buffet in general, and they charge you by weight at the salad bar which is something you wouldn't really expect. It can come out expensive. Their coffee is decent though and the workers are friendly, and it's also pretty clean. ",0.25,0.03174603174603175,0.203125,This is my favorite restaurant in the area. The coffee is sooo good. The teas are great. The staff is super nice. The iced tea is so good. I'm a fan of the ice tea. The milk tea is a tad too sweet for,This is my favorite restaurant in the area. The coffee is sooo good and the teas are soo good. The staff is super nice and they have a great selection of teas and teas. I'm not a coffee drinker but I've never had a bad drink
5,87YsVbCN_kfzheY79Fzjkg,"summarize:  Awesome tiramisu,amazing cake,Great experience,huge help cake tasting,amazing tastings,amazing champagne cake with cream cheese filling,Great service,wonderfully friendly service,recommend fruit tart,awesome Jessica,exceeded carrot cake,did decor,great place,quick service,impressive customer service",this place is amazing! the decor is great and the service is quick and friendly. the service was awesome and friendly. i had the strawberry cake and it was amazing. the cake was amazing and the chocolate cake was amazing. i also had the chocolate mousse cake which was amazing. my friend had a chocolate cake and she loved," This place has delicious cakes, and various other desserts. They are willing to work with you on what you want and what  your budget is.  You can go in for tastings and they will explain all of their cake and filling options, so you're aware of all your choices. The staff are friendly, very good at communicating, and deliver in a timely manner. ",0.1951219512195122,0.033057851239669415,0.16260162601626016,Awesome tiramisu! The cake was amazing! Great experience! The chocolate cake was so good! The icing on the cake was the icling on the top! The champagne cake was also amazing! The service was also great! The only thing I didn't like was the price. I,"Awesome tiramisu. The cake was amazing. Great experience. I'm not a huge fan of ice cream, but this was the best I've had in a long time. It was a little pricey, but it was worth it for the quality and the quality. The"
6,3m2XZFVraCiqjgLxHi5MdA,"summarize: great service,consistent food quality,fine dining place,amazing place, Best,great inside,Not the best location,glowing reviews,delicious food,not extravagant prices,$ 75/person no show fee weekend reservations,fantastic butternut squash soup,loved sweetbreads,aite shrimp dish,must mahimahi",i loved this place. the food is amazing and the service is great. the location is perfect for a date night or a date night. the food quality is fantastic and the prices are comparable to other restaurants in the area. i had the shrimp scampi and it was some of the best i've had in a long time.," If you're in Vegas and want to head off the strip for some great food Rosemary's is a great place to check out. Some of the decor is a little dated but don't let that deter you. The food that they make is amazing, and has a lot of the home made flavor that you are looking for. Their menu also is great, there is something that everyone in your group will love. I highly recommend stopping by here the next time you're looking for some great food! ",0.35526315789473684,0.08000000000000003,0.2105263157894737,I've been here twice and both times the service was great. The food quality is consistent and the place is fine dining. The place is a little small but the inside is great. I'm not a fan of the burgers but the fried chicken is soooo good. The,"The service is great and the food quality is consistent. It's a fine dining place, but if you're looking for a place to eat, this is the place to go. The prices are a little high, but it's worth it. The food is delicious and the"
7,7w99ECXyIR32SKLyMKOLaw,"summarize: great handyman,extremely late to scheduled appointment,very reasonable rates,extremely friendly Steve,installed overhead storage racks,glowing reviews,Fantastic service,prompt Justin,very courteous ceiling fan,very busy guy,trustworthy individual,challenging problems",this was my first visit to this company and i was very pleased with the results. the service was very prompt and the technician was very friendly and professional. the cost was extremely reasonable and the cost of the repair was extremely reasonable. i will definitely be using them again and recommending them to my friends.," These guys did a great job and I'm very thankful. They were punctual and didn't keep me waiting at all. They were friendly and talked to me to explain everything I wanted to know. The reviews do these guys justice and I'm glad I found them. I will be referring them, as well as hiring them again in the future. I recommend! ",0.2809917355371901,0.06722689075630252,0.21487603305785125,I have been coming here for years. The service and the quality of the work is great. The owner is a great handyman and is extremely knowledgeable. The rates are very reasonable. The prices are very competitive. The employees are so friendly and the prices are so reasonable. I have never had a problem,This is a great handyman. I was able to get an appointment on a Saturday afternoon and they were extremely accommodating. The rates are very reasonable and they have a lot of options to choose from. I got a pedicure and a gel mani and pedi. The
8,5mJlO3oCw_4vvbq1qM6OEg,"summarize: amazing sandwiches,LOVE place,very creative options,extremely reasonable prices,Best lunch option,creative Sandwiches,highly recommended roasted red,HEAVY on sandwiches,cool spot,fresh ingrediants,simple food,quiet neighborhood,nice little shop,really nice and quick staff,fresh sandwiches",this is a very nice little coffee shop in the heart of the neighborhood. the food is amazing and the prices are very reasonable. i love the fresh ingredients and the ingredients are fresh. the sandwiches are fresh and made to order. the staff are extremely nice and the shop is quiet and clean. they have a lot of," This place has large portions, you could split most of them into two meals if you wanted. The prices are great considering the portions. They have plenty of fresh ingredients to choose from so you can change  up your order easily. The staff are friendly and they provide quick service. ",0.2752293577981651,0.0747663551401869,0.23853211009174316,I LOVE this place. The sandwiches are amazing. The prices are very creative. I love the fact that they have a variety of toppings. The only thing I would change is that they don't have ice cream. The icecream isn't that great. The best part is that,"I LOVE this place. The sandwiches are amazing and the prices are very creative. I'm not a huge fan of the sandwiches, but I've never had a bad meal here. The prices are extremely reasonable. Best lunch option in the area. The roasted red peppers are so fresh and"
9,-1UMR00eXtwaeh59pEiDjA,"summarize: Amazing food,Very good breakfast,a little different menu,awesome bread,nice and thick soup,good Prices,fantastic spot,perfect Bloody Mary,Briny olives,Crispy thick bacon,excellent Meatloaf,truly fresh Everything,fresh eggs,fluffy waffle,delicious orange",this is a nice spot to get a good breakfast. the menu is a little hard to find but the food is fantastic. i had the eggs benedict and it was excellent. the eggs were fresh and the bacon was crispy and the hash browns were excellent. the bacon and eggs were perfectly crispy and cooked to perfection. the," This place is delicious.  Its a great place to go when you get off your flight, or if you are waiting for your plane to come.  It has delectable breakfast food.  It has everything you could want, such as eggs, bacon, waffles, and more!  I definitely recommend coming here for a big breakfast. ",0.25,0.0,0.19642857142857145,Amazing food. Very good breakfast. The menu is a little different from the usual breakfast items. The bread is awesome. The soup is soooo good. The fried chicken is so good. I'm not a big fan of the fried rice. The sauce is sooo good.,"Amazing food. Very good breakfast. The menu is a little different from what you'd expect from a breakfast place. The bread is awesome. The soup isn't overly salty. It's a bit too salty for my taste, but it's still good. The"
10,65GMvjjrsvyR9pxxAys7qg,"summarize: rude trash attitudes Employees,fun place,large aquarium,large selection of hunted animal,large selection ammo,outlawed Guns,Disappointed service,extremely packed place,long wait,bigger staff,fun store,ripped reinforced fronts,great service,mediocre product,love entry",i love this place. the staff is extremely rude and the service is extremely slow. they have a large selection of guns and the selection is large and the store has a large selection. i love the fact that they have large selection to choose from. the store is a great place to hang out with friends and have, Fun place to visit the place was very large. It had a large aquarium and the fishing demonstration was top notch. The Bass Pro also had some really fun and unique games as well to try. Great place! ,0.3092783505154639,0.10526315789473684,0.24742268041237114,I've been to this place twice and both times I'm not impressed. Employees are rude trash attitudes and the place is fun. I'd rather go to a different place. The selection of guns and guns is large and the selection of gun guns is a little different. The only thing,"Employees are rude trash attitudes. It's a fun place to hang out with friends. They have a large selection of guns and a wide selection of firearms. I'm not a fan of guns, but I've never had a bad experience here. They also have "
11,0NgePUfXd2TG0kWgsQRq0A,"summarize: good food,incredible food,fresh vegetables,frozen meat,recommend tofu,fast service,unprofessional employees,impressed customer,great experience,great Service,always clean place,best price,fun experience,included yogurt,always clean location","this place is always clean and the customer service is great. the food is always fresh, the meat is fresh and the vegetables are the best i've ever had. i would recommend this place to anyone who is looking for a great experience at a good price."," This is a good place to come if you are looking to build your own custom bowl of food and know exactly what you want. It can be a little bit daunting when you are looking at all the options, but the staff is attentive and available to help you pick out your entrees. I would say that the food always winds up coming out fresh and the prices are very reasonable. If you're in the mood for some good food  quick check out this spot! ",0.3555555555555556,0.09022556390977443,0.2074074074074074,I've been coming here for years. The food is good and the prices aren't bad. The meat is fresh and the vegetables are fresh. The service is fast and the employees are very friendly. I'm a fan of the hummus and pitas. The only thing I,The food here is good. The food is incredible. The vegetables are fresh and the meat is fresh. The service is fast. The only thing I would change is that they don't have a ton of toppings to choose from. I'm not a big fan of the sauces.
12,eIKfZrqmpiHLMYslnHGIWE,"summarize: Great customer,convenient parking,easy location,good service,really nice pharmacy tech,nicer location,never negative shopping experience,Great products,great prices,great store,super helpful guest,could orders,best experience,sweetest disposition,knowledgeable products",this is one of the best shopping experiences i have ever had. the store is great and the customer service is great. the prices are great and they have a pretty good selection of products and the employees are always helpful. the location is convenient and the parking lot is easy to find as well.," I've been to a lot of Targets in my life, and I must say, this is one of the better ones. The store is clean and everything is easy to find. What makes this location great though is the staff actually cares. They are actually friendly and interested in making experiences good. I thought customer service was gone, but not here. ",0.4957264957264957,0.17391304347826084,0.2393162393162393,"Great customer service, easy to get to, and convenient parking. I'm a fan of the ice cream, and the shaved ice is a must try. The store is located in the middle of the mall, so it's a great addition to the area. The",Great customer service! The location is easy to get to and the parking is convenient. The service is good and the pharmacy isn't too busy. The pharmacy has a great selection of products and the prices are great. I've been coming here for a few years now and have never been disappointed
13,5EIuCcoHY2evAhFMBV6G6g,"summarize: very good food,Loved decor,salty french onion soup,okay tuna,great entertainment,very much in the joking mood afternoon server,very typical decor,better prepared steak,hung croquette monsieur,Really friendly staff,Odd decor,Good service,traditional Decor,high end dining,small restaurant",the decor of the restaurant is very small and the staff is very friendly and attentive. the service was great and the food was very good. i had the french onion soup and it was really good. the salmon was salty and the steak was very salty. i also loved the decor and decor of this restaurant. the restaurant," This is a decent restaurant.  They serve both breakfast and lunch.  I had the Nicoise salad.  It was ok.  Nothing really impressive.  I wish the place was bigger.  The staff was very attentive.  Good place to eat, but nothing outstanding. ",0.30303030303030304,0.020618556701030927,0.18181818181818185,The food was very good. Loved the decor. The fried chicken and the fried rice was so good. The french onion soup was salty and not too salty. The tuna was okay. The rice and beans were a little too saltier. The sauce was a bit too salt,The food was very good. Loved the decor. The french onion soup was so salty I couldn't eat it. The tuna was just okay. The sashimi wasn't the best I've ever had but it was still good. The only thing I didn't like
